address,price,beds,baths,sqft,property_type,link,full_text
"3954 Folsom St, San Francisco, CA 94110COLDWELL BANKER REALTY, Anthony T. Christen","$625,0001",1.0,1,625,House,https://www.zillow.com/homedetails/3954-Folsom-St-San-Francisco-CA-94110/15163207_zpid/,"3954 Folsom St, San Francisco, CA 94110COLDWELL BANKER REALTY, Anthony T. Christen DRE #01326401$625,0001 bd1 ba625 sqft - House for saleShow more"
"631 Ofarrell St APT 411, San Francisco, CA 94109","$299,000",,1,520,,https://www.zillow.com/homedetails/631-Ofarrell-St-APT-411-San-Francisco-CA-94109/15069421_zpid/,"631 Ofarrell St APT 411, San Francisco, CA 94109$299,000Studio 1 ba520 sqft - For sale by ownerShow more"
"2531 Gough St, San Francisco, CA 94123COMPASS, Magdalena S. Visser","$2,195,0003",3.0,2,"1,789",Condo,https://www.zillow.com/homedetails/2531-Gough-St-San-Francisco-CA-94123/15072262_zpid/,"2531 Gough St, San Francisco, CA 94123COMPASS, Magdalena S. Visser DRE #01925742$2,195,0003 bds2 ba1,789 sqft - Condo for saleShow more"
"90 Valdez Ave, San Francisco, CA 94112","$1,378,0003",3.0,2,"1,583",House,https://www.zillow.com/homedetails/90-Valdez-Ave-San-Francisco-CA-94112/15139618_zpid/,"90 Valdez Ave, San Francisco, CA 94112$1,378,0003 bds2 ba1,583 sqft - House for saleShow more"
"30 Gilroy St, San Francisco, CA 94124","$1,248,0005",5.0,3,"2,284",House,https://www.zillow.com/homedetails/30-Gilroy-St-San-Francisco-CA-94124/15154918_zpid/,"30 Gilroy St, San Francisco, CA 94124$1,248,0005 bds3 ba2,284 sqft - House for saleShow more"
"1751 25th Ave, San Francisco, CA 94122VIVRE REAL ESTATE, Danielle H. Lazier","$1,650,0003",3.0,2,"1,975",House,https://www.zillow.com/homedetails/1751-25th-Ave-San-Francisco-CA-94122/15111029_zpid/,"1751 25th Ave, San Francisco, CA 94122VIVRE REAL ESTATE, Danielle H. Lazier DRE #01340326$1,650,0003 bds2 ba1,975 sqft - House for saleShow more"
"807 Vienna St, San Francisco, CA 94112COMPASS, Juanjuan Huang","$1,395,0003",3.0,3,"1,755",House,https://www.zillow.com/homedetails/807-Vienna-St-San-Francisco-CA-94112/15176632_zpid/,"807 Vienna St, San Francisco, CA 94112COMPASS, Juanjuan Huang DRE #01934195$1,395,0003 bds3 ba1,755 sqft - House for saleShow more"
"71 Woodward St, San Francisco, CA 94103COMPASS, Tim Farrell","$575,0002",2.0,1,,House,https://www.zillow.com/homedetails/71-Woodward-St-San-Francisco-CA-94103/2075613553_zpid/,"71 Woodward St, San Francisco, CA 94103COMPASS, Tim Farrell DRE #01435877$575,0002 bds1 ba-- sqft - House for saleShow more"
"53 Elsie St, San Francisco, CA 94110","$1,600,0002",2.0,2,"1,385",House,https://www.zillow.com/homedetails/53-Elsie-St-San-Francisco-CA-94110/15161157_zpid/,"53 Elsie St, San Francisco, CA 94110$1,600,0002 bds2 ba1,385 sqft - House for saleShow more"
"2312 Pacific Ave, San Francisco, CA 94115COMPASS, Neal Allen Ward","$15,495,0005",5.0,5,"7,288",House,https://www.zillow.com/homedetails/2312-Pacific-Ave-San-Francisco-CA-94115/15073276_zpid/,"2312 Pacific Ave, San Francisco, CA 94115COMPASS, Neal Allen Ward DRE #01052285$15,495,0005 bds5 ba7,288 sqft - House for saleShow more"
